,objid,ps_score,angDist,_RAJ2000,_DEJ2000,Filt1,Filt2,RAJ2000,DEJ2000,ABmag1,mag1,Errmag1,Field1,RA2deg,DE2deg,ABmag2,mag2,Errmag2,Field2,Sep,objID,RAJ2000.1,DEJ2000.1,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
12796,157690109204805976,0.92570835,0.087946,10.9204,41.4128,NUVN2,NUVB15,10.9204,41.4128,21.819,20.102,0.142,"1, 2",10.9204,41.4127,20.155,18.655,0.109,"1, 2",0.15,157690109204805976,10.92042929,41.41278931,0.004,0.003,90,520413184,62,56100.25361111,5,59,16.5652,0.004,16.6853,0.0011,115000,16.1468,0.0076,16.2226,0.0022,115000,15.9557,0.0021,16.0313,0.0022,115000,15.9131,0.0019,15.9745,0.0091,115000,15.873,0.0043,15.9296,0.0119,115000
12803,157720111817383695,0.73558927,0.086712,11.1817,41.4359,FUVCaF2,FUVSilica,11.1817,41.4359,19.84,17.439,0.052,2,11.1818,41.4359,19.368,21.355,0.148,2,0.22,157720111817383695,11.18172823,41.4358885,0.015,0.01,90,436527104,52,56171.39,5,55,18.9155,0.0228,18.992,0.0113,115000,19.0275,0.021,19.04,0.0733,16892216,19.2529,0.0096,19.3814,0.0225,115000,19.4016,0.036,19.5195,0.0752,115000,19.3489,0.0287,19.6721,0.1017,115000
12811,157940112652463383,0.9888988,0.14051,11.2653,41.619,FUVCaF2,FUVSilica,11.2653,41.619,19.904,17.503,0.057,2,11.2656,41.6193,20.09,22.077,0.241,2,1.29,157940112652463383,11.26527736,41.61896483,0.008,0.003,90,503636096,60,56105.74709491,5,69,16.1648,0.0015,16.1538,0.0245,115000,16.1407,0.0054,16.1068,0.0139,115000,16.2313,0.007,16.1797,0.0096,115000,16.2066,0.007,16.1827,0.0091,115000,16.2518,0.0078,16.252,0.0176,115000
12816,157730104556745540,0.944,0.248901,10.4557,41.4458,FUVCaF2,FUVSilica,10.4557,41.4458,22.345,19.944,0.125,"4, 5",10.4558,41.4458,21.815,23.802,0.146,"4, 5",0.25,157730104556745540,10.45567771,41.44573291,0.01,0.008,0,436527104,52,55958.29174769,5,35,19.2028,0.0086,19.3224,0.01,115000,19.2621,0.011,19.4068,0.0183,115000,19.3026,0.014,19.5046,0.0389,115000,19.3189,0.04,19.6502,0.0292,114992,19.3102,0.0196,19.6066,0.064,115000
12822,157970115964246355,0.99875,0.207285,11.5964,41.6465,FUVCaF2,FUVSilica,11.5964,41.6465,19.598,17.197,0.056,13,11.5964,41.6465,18.818,20.805,0.058,13,0.04,157970115964246355,11.59642954,41.64644682,0.005,0.002,90,503636096,60,56056.57173611,5,56,16.2209,0.0064,16.2366,0.0047,115000,16.1844,0.0041,16.2119,0.0045,115000,16.287,0.0043,16.3306,0.004,115000,16.3703,0.0077,16.4252,0.0117,115000,16.4145,0.0086,16.4812,0.0108,115000
12845,157860107772556737,0.98693454,0.660415,10.7772,41.5553,NUVN2,NUVB15,10.7772,41.5553,21.716,19.999,0.162,5,10.7771,41.5551,19.684,18.184,0.083,"2, 5",0.71,157860107772556737,10.77724731,41.55512,0.009,0.005,0,520413312,62,56084.99663194,5,50,15.7125,0.0037,15.8061,0.0023,115000,15.2949,0.0015,15.3635,0.0059,115000,15.1565,0.0043,15.2288,0.0016,115000,15.1166,0.0118,15.2219,0.01,115000,15.0898,0.0077,15.1645,0.0054,115000
12846,157740103944126137,0.92129165,0.28106,10.3944,41.4545,NUVN2,NUVB15,10.3944,41.4545,22.12,20.403,0.159,"4, 5",10.3944,41.4546,20.115,18.615,0.083,"4, 5",0.15,157740103944126137,10.3944096,41.45457774,0.008,0.007,0,503636096,60,55944.93827546,4,54,16.3705,0.0045,16.4203,0.0056,115000,15.9752,0.003,16.0162,0.0032,115000,15.8379,0.0047,15.9067,0.0033,115000,15.7981,0.0081,15.8787,0.0039,16696,15.7916,0.0028,15.8521,0.011,115000
12847,157910107474620029,0.69952977,0.432478,10.7475,41.5913,FUVCaF2,NUVB15,10.7475,41.5913,24.876,22.475,1.254,5,10.7475,41.5913,22.787,21.07,0.307,5,0.26,157910107474620029,10.74740406,41.59120365,0.092,0.092,90,436527104,52,56152.5781713,8,14,21.4128,0.1039,22.1339,0.2999,16440,21.3601,0.0311,21.7529,0.2523,115000,21.1037,0.105,21.085,0.0059,115000,20.8559,0.0997,21.4944,0.2837,114744,,,,,114720
12849,157940113295776557,0.68731546,0.233114,11.3296,41.6215,FUVCaF2,FUVSilica,11.3296,41.6215,22.288,19.887,0.104,"2, 13",11.3296,41.6215,21.45,23.437,0.167,13,0.13,157940113295776557,11.32958631,41.62156394,0.159,0.031,0,444915712,53,55905.79409722,3,9,20.9793,0.0425,20.5414,0.0964,16892216,20.9476,0.0822,20.4057,0.1139,16892472,21.0727,0.0892,21.0204,0.1512,115256,,,,,16416,,,,,16416
12856,157960104477279324,0.7173333,0.499401,10.4477,41.6406,FUVCaF2,FUVSilica,10.4477,41.6406,21.291,18.89,0.106,5,10.4476,41.6406,21.414,23.401,0.168,5,0.34,157960104477279324,10.44763231,41.64047083,0.053,0.03,0,436527232,52,55945.93201389,5,42,21.3173,0.0921,21.4526,0.0937,115000,21.4985,0.0453,21.4689,0.1343,115000,20.9854,0.0641,21.057,0.0614,115000,19.7975,0.0487,19.7258,0.1045,115000,19.3279,0.0553,19.3153,0.0719,115000
12872,157880107886331093,0.92983335,0.746229,10.7888,41.5672,NUVN2,NUVB15,10.7888,41.5672,21.042,19.325,0.096,"2, 5",10.7886,41.5671,20.128,18.628,0.1,"2, 5",0.68,157880107886331093,10.78856769,41.56708705,0.087,0.022,90,520413184,62,55992.81798611,5,60,17.7147,0.0106,17.7433,0.0065,16892216,17.4999,0.0136,17.4953,0.0084,115000,17.4437,0.0146,17.4492,0.0109,16892216,17.4521,0.0136,17.4337,0.0153,115000,17.4461,0.0085,17.4275,0.0224,115000
12880,157790110776160376,0.64295834,0.260844,11.0777,41.4915,FUVCaF2,NUVB15,11.0777,41.4915,21.998,19.597,0.116,2,11.0776,41.4915,21.413,19.696,0.164,2,0.28,157790110776160376,11.0776387,41.49144395,0.154,0.062,0,436527104,52,55806.18310185,2,9,21.294,0.0381,21.5151,0.0586,115000,21.4179,0.1988,,,115000,,,,,16416,,,,,16416,,,,,16416
12881,157950113117106770,0.77966964,0.117023,11.3117,41.6301,FUVCaF2,FUVSilica,11.3117,41.6301,19.435,17.034,0.035,"2, 13",11.3118,41.6301,19.153,21.14,0.059,"2, 13",0.19,157950113117106770,11.31173362,41.63012062,0.039,0.023,0,444915712,53,55991.85925926,4,42,19.1717,0.0139,19.0262,0.0223,16892216,19.3897,0.023,19.3396,0.0245,16892216,19.5667,0.0181,19.4922,0.0263,16892216,19.7353,0.0341,19.4183,0.0569,16892216,,,,,16416
12887,157820112201654686,0.8944524,0.272341,11.2201,41.52,FUVCaF2,NUVB15,11.2201,41.52,21.536,19.135,0.093,2,11.2201,41.5201,22.109,20.392,0.238,2,0.44,157820112201654686,11.22018474,41.5200412,0.014,0.014,90,436527104,52,56003.5744213,5,47,20.3573,0.0275,20.6604,0.0588,115000,20.3124,0.0244,20.5343,0.0559,115000,20.3758,0.0295,20.6013,0.0761,115000,20.4094,0.0291,20.1745,0.0974,115000,20.1046,0.2061,,,115000
12888,157700109603717999,0.9329583,0.965712,10.9607,41.4228,FUVCaF2,NUVB15,10.9607,41.4228,21.338,18.937,0.088,2,10.9607,41.4228,21.278,19.561,0.159,2,0.16,157700109603717999,10.96034393,41.42282592,0.019,0.007,90,436527104,52,56149.22163194,5,57,20.7519,0.0213,20.7106,0.054,115000,19.8514,0.0278,19.652,0.0736,16892216,18.9793,0.0099,19.0363,0.0345,115000,18.5797,0.0179,18.7264,0.0157,115000,18.3725,0.0303,18.5815,0.0471,115000
12889,157790113775773443,0.98791665,0.853244,11.3778,41.4942,NUVN2,NUVB15,11.3778,41.4942,21.287,19.57,0.139,13,11.3776,41.494,19.858,18.358,0.104,13,0.69,157790113775773443,11.3776175,41.49400638,0.003,0.001,90,503635968,60,56019.41898148,5,76,16.2175,0.0029,16.2801,0.0031,115000,15.825,0.0036,15.8673,0.0038,115000,15.6689,0.0023,15.724,0.0017,115000,15.6237,0.0028,15.6877,0.0054,115000,15.5965,0.0029,15.6196,0.0056,115000
12904,157680103476832374,0.98225,0.189315,10.3477,41.4014,FUVCaF2,NUVB15,10.3477,41.4014,22.87,20.469,0.214,4,10.3478,41.4014,21.893,20.176,0.199,4,0.37,157680103476832374,10.34771974,41.40145046,0.016,0.01,0,436527104,52,55915.96532407,5,50,19.2675,0.0109,19.3814,0.0152,115000,19.2859,0.0185,19.4375,0.0328,115000,19.4125,0.0185,19.5234,0.0372,115000,19.5787,0.0876,19.4906,0.2281,115000,19.5049,0.0494,19.6748,0.1334,115000
12907,157830112352471859,0.7299167,0.119892,11.2352,41.526,FUVCaF2,FUVSilica,11.2352,41.526,20.051,17.65,0.057,2,11.2352,41.526,19.647,21.634,0.167,2,0.2,157830112352471859,11.2352314,41.52602359,0.014,0.011,0,436527104,52,55987.04688657,5,48,19.2308,0.0154,18.8938,0.0654,16892216,19.4394,0.0258,18.9565,0.1423,16892216,19.6598,0.0121,19.7534,0.0388,115000,19.8514,0.0614,20.1284,0.0893,115000,20.2614,0.2187,20.1091,0.236,115256
12913,157980112468862003,0.99333334,0.180579,11.2469,41.6511,FUVCaF2,NUVB15,11.2469,41.6511,22.582,20.181,0.147,2,11.247,41.651,18.469,16.752,0.053,2,0.37,157980112468862003,11.24691386,41.65114908,0.004,0.003,90,503635968,60,56094.52777778,5,58,15.1797,0.007,15.21,0.0034,115000,14.9367,0.0022,14.968,0.0011,115000,14.8629,0.0027,14.9088,0.0019,115000,14.8809,0.0036,14.9267,0.001,115000,14.8678,0.0035,14.9142,0.0033,115000
12916,157790110517254477,0.880375,0.103139,11.0517,41.4949,FUVCaF2,FUVSilica,11.0517,41.4949,18.951,16.55,0.041,2,11.0517,41.4949,18.71,20.697,0.108,2,0.06,157790110517254477,11.05173258,41.49488499,0.035,0.009,90,436527104,52,55949.30534722,3,43,19.4195,0.0081,19.4978,0.0189,115000,19.6775,0.023,19.7119,0.0312,115000,20.2312,0.0296,20.3737,0.0727,115000,,,,,16416,19.7875,0.0788,,,16696
12923,157740109314699401,0.87320834,0.375498,10.9316,41.4573,FUVCaF2,NUVB15,10.9316,41.4573,22.224,19.823,0.126,2,10.9317,41.4573,21.348,19.631,0.161,2,0.2,157740109314699401,10.93146359,41.45732069,0.01,0.009,0,444915712,53,56103.30078704,5,54,19.2699,0.0113,19.3078,0.0325,115000,19.1655,0.0231,19.1863,0.0332,115000,19.1005,0.0175,18.9968,0.0226,16892216,19.0528,0.0336,18.8686,0.0496,16892216,19.0421,0.0237,18.5884,0.1086,16892216
12936,157790111559461105,0.96425,0.215976,11.1559,41.4921,FUVCaF2,FUVSilica,11.1559,41.4921,18.429,16.028,0.038,2,11.1559,41.4921,18.083,20.07,0.084,2,0.09,157790111559461105,11.15597622,41.49208157,0.032,0.014,0,444915712,53,56089.73601852,5,63,18.1091,0.0013,18.1191,0.0135,16892216,18.3499,0.0083,18.278,0.0133,16892216,18.5786,0.009,18.575,0.0143,115000,18.6472,0.0173,18.5462,0.0248,16892216,18.6618,0.0285,18.5026,0.0679,16892216
12942,157980105582367532,0.75441664,0.320685,10.5581,41.6557,FUVCaF2,NUVB15,10.5581,41.6557,22.117,19.716,0.15,5,10.558,41.6556,21.893,20.176,0.178,5,0.35,157980105582367532,10.55820745,41.6557386,0.027,0.019,0,436527104,52,56046.86912037,5,33,21.4552,0.036,21.2332,0.1054,16892216,21.2034,0.0143,21.3244,0.1135,115000,20.8485,0.0354,20.9545,0.0968,115000,20.604,0.0196,20.6608,0.1907,115000,20.4094,0.1567,,,115000
12944,157820112339243579,0.6937262,0.164951,11.2339,41.5191,FUVCaF2,NUVB15,11.2339,41.5191,21.484,19.083,0.102,2,11.2339,41.5191,21.389,19.672,0.184,2,0.21,157820112339243579,11.23395235,41.51912373,0.026,0.019,90,444915712,53,56049.6628588,5,51,19.9217,0.0235,19.7877,0.0478,16892216,19.9711,0.0168,19.8416,0.0624,16892216,19.9377,0.0204,19.6344,0.0405,16892216,20.0082,0.0441,19.6209,0.0869,16892216,20.1224,0.3045,18.9436,0.1555,115000
12947,157870107118581334,0.9595417,0.231212,10.712,41.5589,FUVCaF2,FUVSilica,10.712,41.5589,22.235,19.834,0.156,5,10.712,41.5589,21.645,23.632,0.18,5,0.15,157870107118581334,10.71195971,41.55895671,0.016,0.007,0,436527104,52,56043.01195602,5,56,20.1077,0.0196,20.2529,0.0624,115000,19.3413,0.0107,19.4996,0.0236,115000,18.281,0.0089,18.3776,0.0257,115000,17.7668,0.0128,17.8587,0.0221,115000,17.4969,0.0085,17.6422,0.0123,115000
12954,157780106378016764,0.5603333,0.301762,10.6377,41.4885,FUVCaF2,FUVSilica,10.6377,41.4885,18.242,15.841,0.04,5,10.6378,41.4885,18.139,20.126,0.049,5,0.13,157780106378016764,10.63780463,41.48847028,0.008,0.007,0,444915712,53,55922.22590278,5,51,18.0519,0.0061,17.9111,0.0106,16892216,18.3092,0.0085,18.1856,0.0147,16892216,18.6296,0.018,18.6242,0.0303,16892216,18.8527,0.0206,18.8576,0.03,115000,18.805,0.0636,18.9436,0.0728,115000
12960,157740110103802326,0.69345236,0.438739,11.0105,41.4514,FUVCaF2,NUVB15,11.0105,41.4514,22.179,19.778,0.127,2,11.0105,41.4514,21.748,20.031,0.191,2,0.11,157740110103802326,11.01037569,41.45147856,0.043,0.022,0,436527104,52,56086.208125,5,37,21.2424,0.0629,21.4016,0.2001,115000,21.0592,0.0656,21.0217,0.1074,115000,21.0574,0.0373,21.0157,0.0538,115000,20.2652,0.1524,20.0841,0.1498,115000,20.0312,0.0724,19.9503,0.1787,115000
12962,157690104604411582,0.98595834,0.215473,10.4604,41.4091,FUVCaF2,NUVB15,10.4604,41.4091,22.412,20.011,0.174,4,10.4604,41.409,21.086,19.369,0.094,"4, 5",0.46,157690104604411582,10.46047956,41.40910468,0.02,0.015,0,436527104,52,55954.59407407,5,47,19.419,0.0099,19.4922,0.0156,115000,19.5594,0.0146,19.6148,0.0338,115000,19.7071,0.0134,19.8687,0.0306,115000,19.7563,0.1071,20.0923,0.0195,114992,19.7398,0.0774,19.4596,0.0942,115000
12977,157940112706029731,0.91173214,0.333899,11.2705,41.6242,FUVCaF2,FUVSilica,11.2705,41.6242,19.629,17.228,0.052,2,11.2705,41.6242,19.102,21.089,0.139,2,0.13,157940112706029731,11.27059447,41.62426013,0.045,0.014,90,444915712,53,55978.53274306,5,61,18.0611,0.0283,17.7701,0.0419,16892216,18.3543,0.0121,18.2457,0.0122,16892216,18.5863,0.0079,18.4634,0.0305,16892216,18.839,0.027,18.879,0.0787,16892216,19.0191,0.033,18.9428,0.1985,115000
12987,157890107362148004,0.89679164,0.317282,10.7362,41.5811,FUVCaF2,FUVSilica,10.7362,41.5811,21.858,19.457,0.134,5,10.7361,41.5812,21.644,23.631,0.185,5,0.22,157890107362148004,10.73620781,41.58118794,0.014,0.011,90,436527104,52,56006.55917824,10,50,18.7027,0.0077,18.7254,0.0083,115000,18.5642,0.0137,18.5831,0.0149,115000,18.6049,0.013,18.5774,0.0206,16892216,18.5455,0.0484,18.2682,0.1614,115000,18.5657,0.0275,18.4607,0.0512,16892216
12991,157940111650591555,0.75890476,0.268984,11.165,41.6174,FUVCaF2,NUVB15,11.165,41.6174,21.187,18.786,0.082,2,11.165,41.6173,20.447,18.73,0.107,2,0.47,157940111650591555,11.16504992,41.61746473,0.105,0.066,90,444915712,53,55979.70965278,4,33,20.1728,0.0224,20.1758,0.072,115000,20.4602,0.0229,20.3134,0.0393,16892216,20.628,0.0349,20.2557,0.0584,16892216,,,,,16416,19.6564,0.2305,,,115000
12994,157740105406380251,0.9465476,0.138002,10.5406,41.4497,NUVN2,FUVSilica,10.5406,41.4497,19.873,18.373,0.106,5,10.5405,41.4497,22.186,24.173,0.231,5,0.17,157740105406380251,10.54062928,41.44966857,0.013,0.007,90,436527104,52,55915.57314815,5,50,17.775,0.009,17.789,0.0138,115000,17.6044,0.0041,17.6758,0.0077,115000,17.5823,0.0097,17.6288,0.01,115000,19.099,,17.6779,0.0241,115000,17.6121,0.0226,17.4959,0.0393,16892216
12997,157750109365111562,0.9420417,0.333148,10.9366,41.4591,NUVN2,NUVB15,10.9366,41.4591,21.282,19.565,0.155,2,10.9365,41.4591,20.546,19.046,0.215,2,0.32,157750109365111562,10.93648023,41.45912252,0.013,0.005,0,520413184,62,56175.28336806,5,56,18.239,0.0115,18.3871,0.0058,115000,17.9474,0.0132,18.0551,0.0183,115000,17.8062,0.0048,17.8961,0.0128,115000,17.752,0.0099,17.8003,0.0106,115000,17.6736,0.0177,17.7077,0.0237,115000
12998,157940112947531994,0.7691488,0.055084,11.2948,41.6178,FUVCaF2,FUVSilica,11.2948,41.6178,19.493,17.092,0.037,"2, 13",11.2949,41.6178,19.213,21.2,0.061,"2, 13",0.16,157940112947531994,11.2947818,41.617807,0.02,0.009,90,444915712,53,56006.80221065,5,53,18.8347,0.0165,18.3794,0.0466,16892216,19.0558,0.0082,18.5429,0.0645,16892216,19.1388,0.0223,18.6299,0.0536,16892216,19.1707,0.0211,19.0454,0.0606,16892216,19.0119,0.0428,18.6323,0.0617,16892216
13019,157960114256575421,0.9863333,0.394976,11.4257,41.6372,NUVN2,NUVB15,11.4257,41.6372,21.935,20.218,0.189,13,11.4256,41.6374,21.295,19.795,0.204,13,0.52,157960114256575421,11.42567467,41.63730807,0.021,0.013,0,436527104,52,55969.29106481,5,52,19.4068,0.0068,19.4866,0.0164,115000,19.5217,0.0066,19.6401,0.0199,115000,19.7132,0.0163,19.9195,0.0246,115000,19.8098,0.042,20.1985,0.0708,115000,19.8711,0.0882,20.4635,0.0795,115000
13022,157990110462555138,0.5459464,0.264215,11.0462,41.662,FUVCaF2,NUVB15,11.0462,41.662,22.216,19.815,0.13,2,11.0463,41.6619,21.813,20.096,0.207,2,0.63,157990110462555138,11.04625631,41.66206014,0.171,0.056,0,436527104,52,55622.09259259,2,9,21.5497,0.0693,21.8618,0.2284,115000,21.75,0.063,,,115000,,,,,16416,,,,,16416,,,,,16416
13023,157940113328611625,0.72185415,0.312484,11.3329,41.6174,FUVCaF2,FUVSilica,11.3329,41.6174,22.872,20.471,0.182,2,11.3328,41.6174,22.023,24.01,0.225,13,0.3,157940113328611625,11.33288233,41.61748579,0.026,0.023,90,436527104,52,55945.06613426,5,49,19.3316,0.0193,19.154,0.0608,16892216,19.2107,0.0154,19.0773,0.1041,16892216,19.2034,0.004,19.2058,0.0457,115000,19.2448,0.0169,19.3884,0.0328,115000,19.2145,0.0442,19.5068,0.0629,115000
13030,157810112910301087,0.99875,0.368335,11.2911,41.5086,FUVCaF2,NUVB15,11.2911,41.5086,22.301,19.9,0.127,2,11.2911,41.5087,19.854,18.137,0.084,2,0.38,157810112910301087,11.29105433,41.50869643,0.004,0.003,90,503636160,60,56080.53532407,5,66,17.1326,0.0085,17.1963,0.0125,115000,16.7656,0.0544,16.8315,0.0518,115000,16.6882,0.0303,16.7613,0.0311,115000,16.5272,0.085,16.5096,0.1121,115000,16.7452,0.021,16.8059,0.0644,115000
13035,157870107680053475,0.632,0.525242,10.7679,41.5608,FUVCaF2,NUVB15,10.7679,41.5608,22.719,20.318,0.121,"2, 5",10.768,41.561,22.225,20.508,0.163,"2, 5",0.45,157870107680053475,10.76798346,41.56066814,0.045,0.031,0,436527104,52,56113.40747685,4,22,21.6288,0.0587,21.4701,0.1174,115000,21.7607,0.1635,21.1522,0.1797,16793912,21.2247,0.0656,21.2323,0.093,115000,20.1968,0.0991,20.3672,0.0959,115000,19.5812,0.0331,19.7748,0.0703,115000
13038,157930112801544004,0.99916667,0.261876,11.2801,41.6111,FUVCaF2,NUVB15,11.2801,41.6111,21.536,19.135,0.096,2,11.2802,41.611,20.698,18.981,0.124,2,0.29,157930112801544004,11.28017812,41.61114336,0.019,0.017,0,436527104,52,56000.3693287,10,62,17.9755,0.0055,18.0355,0.0183,115000,17.9541,0.0051,17.991,0.0182,115000,17.9699,0.0073,18.0422,0.0088,115000,17.9857,0.0202,18.0402,0.0108,115000,17.9691,0.018,18.0325,0.0163,115000
13051,157990110326974360,0.67663985,0.085123,11.0327,41.6615,FUVCaF2,NUVB15,11.0327,41.6615,21.427,19.026,0.092,2,11.0328,41.6613,20.93,19.213,0.136,2,0.82,157990110326974360,11.03272919,41.66149086,0.042,0.021,0,436527104,52,55915.18925926,5,40,20.6815,0.0296,20.7964,0.0528,115000,20.8329,0.0163,20.7496,0.0726,115000,21.0629,0.0737,20.7594,0.1427,115000,20.8753,0.0,20.3913,0.3016,16892216,,,,,114720
13052,157920113265645662,0.8073631,0.141555,11.3266,41.6042,FUVCaF2,FUVSilica,11.3266,41.6042,20.08,17.679,0.042,"2, 13",11.3266,41.6042,20.005,21.992,0.083,"2, 13",0.12,157920113265645662,11.32654742,41.60419943,0.024,0.011,90,444915712,53,56049.35840278,7,14,,,,,114720,19.8773,0.0191,19.7443,0.0288,16892216,20.0039,0.0304,19.9413,0.043,16892216,,,,,16416,,,,,16416
13061,157830110327908790,0.9669821,0.208843,11.0328,41.5319,FUVCaF2,FUVSilica,11.0328,41.5319,18.602,16.201,0.039,2,11.0328,41.5318,18.426,20.413,0.098,2,0.05,157830110327908790,11.03279404,41.53184216,0.011,0.003,90,436527104,52,56028.34716435,5,69,17.8609,0.0081,17.9389,0.0072,115000,18.1001,0.0036,18.2202,0.0165,115000,18.3588,0.0089,18.5963,0.0203,115000,18.5146,0.0135,18.7288,0.025,115000,18.5584,0.0263,18.869,0.0284,115000
13077,157900105400455463,0.74326783,0.134096,10.54,41.5874,FUVCaF2,FUVSilica,10.54,41.5874,21.775,19.374,0.13,5,10.5398,41.5874,21.66,23.647,0.186,5,0.62,157900105400455463,10.5399936,41.58736306,0.144,0.123,90,436527104,52,56204.4416088,8,17,21.3892,0.0576,21.1702,0.0836,115000,,,,,114720,20.598,0.0616,20.6815,0.0227,115000,20.0791,0.0507,20.0891,0.085,16696,19.6536,0.1253,20.1389,0.0376,115000
13089,157640109215465577,0.7972917,0.368183,10.9214,41.3707,FUVCaF2,NUVB15,10.9214,41.3707,21.65,19.249,0.103,1,10.9214,41.3706,20.987,19.27,0.098,"1, 2",0.34,157640109215465577,10.92149287,41.37077485,0.028,0.02,90,436527104,52,55946.32054398,4,30,20.2116,0.0345,20.0765,0.056,16892216,20.3761,0.0443,20.5004,0.0573,115000,20.7264,0.0514,21.0516,0.2587,115000,20.6082,0.0754,,,115000,,,,,16416
13092,157920105286654839,0.84011906,0.057571,10.5287,41.6035,FUVCaF2,FUVSilica,10.5287,41.6035,20.837,18.436,0.087,5,10.5287,41.6035,20.444,22.431,0.107,5,0.03,157920105286654839,10.52870586,41.60351538,0.027,0.016,0,436527104,52,55889.94546296,8,27,20.6232,0.0343,20.7054,0.0587,115000,20.965,0.0386,20.9758,0.0946,115000,21.4228,0.0972,21.3104,0.1396,115000,,,,,114720,,,,,16416
13098,157620110351025385,0.9552024,0.057656,11.0351,41.354,FUVCaF2,FUVSilica,11.0351,41.354,19.814,17.413,0.038,"2, 7",11.0351,41.354,19.629,21.616,0.076,7,0.08,157620110351025385,11.03508741,41.35398707,0.025,0.005,90,436527104,52,56006.86336806,5,59,19.176,0.011,19.311,0.0145,115000,19.3018,0.0122,19.2016,0.0204,16892216,19.683,0.0131,19.8996,0.0228,115000,19.8309,0.0301,19.6924,0.085,115000,19.7365,0.0736,19.7033,0.1561,115000
13104,157920106237061611,0.7161607,0.99623,10.6236,41.6011,FUVCaF2,NUVB15,10.6236,41.6011,23.103,20.702,0.242,5,10.6234,41.6012,22.424,20.707,0.249,5,0.55,157920106237061611,10.62368118,41.60083001,0.119,0.052,0,1376051200,164,56385.57210648,8,11,21.847,0.1498,,,20536,,,,,16416,21.4832,0.1619,21.3713,0.2745,115000,20.2126,0.1561,20.1437,0.2387,114992,19.9558,0.1946,19.9425,0.2397,115000
13109,157660111198677106,0.6468809,0.253049,11.1198,41.3887,FUVCaF2,FUVSilica,11.1198,41.3887,22.513,20.112,0.13,"2, 7",11.1198,41.3887,22.011,23.998,0.234,7,0.07,157660111198677106,11.11978268,41.38876908,0.278,0.12,0,444915712,53,56021.04371528,4,16,21.0902,0.055,20.6353,0.1537,16892216,21.4242,0.0687,21.2516,0.1344,16892216,,,,,16416,,,,,16416,,,,,16416
13127,157730111621338128,0.9875,0.121085,11.1622,41.4479,FUVCaF2,NUVB15,11.1622,41.4479,22.129,19.728,0.123,2,11.162,41.448,20.246,18.529,0.099,2,0.5,157730111621338128,11.16215823,41.44791229,0.006,0.004,0,520413312,62,56046.96355324,5,68,16.713,0.0054,16.7641,0.0027,115000,16.5933,0.0037,16.6531,0.007,115000,16.6358,0.0046,16.7452,0.003,115000,16.6584,0.0075,16.737,0.0046,115000,16.6712,0.0077,16.7667,0.0106,115000
13144,157850110472879608,0.9799762,0.080296,11.0473,41.5492,FUVCaF2,NUVB15,11.0473,41.5492,22.19,19.789,0.133,2,11.0473,41.5493,22.17,20.453,0.256,2,0.21,157850110472879608,11.0473006,41.5491777,0.008,0.005,0,520413376,62,56009.90909722,5,72,18.3713,0.006,18.4175,0.0186,115000,17.6146,0.0115,17.7512,0.0068,115000,17.3919,0.0115,17.542,0.0116,115000,17.3717,0.0064,17.5076,0.0113,115000,17.3561,0.0111,17.465,0.0129,115000
13148,157970107969317641,0.89075,0.174549,10.797,41.6475,FUVCaF2,FUVSilica,10.797,41.6475,21.483,19.082,0.072,"2, 5",10.797,41.6475,21.632,23.619,0.186,5,0.04,157970107969317641,10.79694455,41.64752518,0.032,0.021,0,436527104,52,56113.24756944,5,67,19.4162,0.0151,19.2957,0.0238,16892216,19.2194,0.0232,19.2107,0.0142,16892216,19.2617,0.0142,19.299,0.0131,115000,19.2931,0.013,19.2983,0.0429,115000,19.2951,0.0394,19.268,0.0339,115000
13162,157900112708311555,0.7264048,0.506397,11.2708,41.584,FUVCaF2,NUVB15,11.2708,41.584,22.824,20.423,0.171,2,11.271,41.5839,22.42,20.703,0.276,2,0.58,157900112708311555,11.2708944,41.58412166,0.063,0.039,0,436527104,52,56035.80917824,6,22,21.6709,0.0612,21.4886,0.1556,115000,21.4264,0.0563,21.4702,0.2476,115000,21.2017,0.0594,21.3721,0.121,115000,,,,,16416,,,,,16416
13169,157940113022009381,0.53624403,0.257045,11.3022,41.6239,FUVCaF2,FUVSilica,11.3022,41.6239,19.935,17.534,0.041,"2, 13",11.3023,41.624,19.698,21.685,0.072,"2, 13",0.28,157940113022009381,11.30223145,41.62396742,0.053,0.037,90,436527104,52,56019.02388889,5,33,19.2215,0.0253,19.2958,0.0276,115000,19.3889,0.0296,19.3547,0.0612,115000,19.4597,0.0107,19.664,0.0269,115000,19.6053,0.1006,19.8332,0.1015,115000,19.8856,0.1124,20.1072,0.0139,115000
13182,157960107470616170,0.5473155,0.382087,10.7472,41.638,FUVCaF2,FUVSilica,10.7472,41.638,22.043,19.642,0.11,"2, 5",10.7471,41.638,21.675,23.662,0.198,5,0.35,157960107470616170,10.74705825,41.63799353,0.022,0.022,90,444751872,53,56133.45016204,1,6,,,,,114720,20.3272,0.0383,19.1863,0.0754,16793912,20.6,0.0177,19.4301,0.0138,16793912,,,,,16416,,,,,16416
