,objid,ps_score,angDist,_RAJ2000,_DEJ2000,Filt1,Filt2,RAJ2000,DEJ2000,ABmag1,mag1,Errmag1,Field1,RA2deg,DE2deg,ABmag2,mag2,Errmag2,Field2,Sep,objID,RAJ2000.1,DEJ2000.1,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
8016,156800100851698680,0.70308334,0.117929,10.0851,40.6734,FUVCaF2,FUVSapphire,10.0851,40.6734,21.877,19.476,0.142,14,10.0851,40.6733,21.977,19.856,0.133,14,0.11,156800100851698680,10.08514233,40.67340651,0.088,0.039,0,444915712,53,56053.33228009,2,14,21.0107,0.0408,20.6789,0.077,16892216,21.0682,0.0532,20.8278,0.0912,16892216,21.1122,0.0642,21.2864,0.046,16696,,,,,16416,,,,,16416
8018,157140101541084233,0.80105555,0.444075,10.1543,40.953,NUVN2,NUVB15,10.1543,40.953,19.883,18.166,0.076,3,10.1541,40.953,19.656,18.156,0.097,3,0.62,157140101541084233,10.1541367,40.95299765,0.017,0.007,90,436527232,52,55886.21453704,4,63,19.6421,0.0174,19.6678,0.0222,115000,19.8382,0.0126,19.8063,0.0407,115000,20.0874,0.0152,20.2162,0.04,115000,20.207,0.0342,20.0678,0.1026,115000,19.9003,0.1807,19.8321,0.2907,16696
8031,156860101311066364,0.89316666,0.182403,10.1311,40.7215,FUVCaF2,FUVSapphire,10.1311,40.7215,20.513,18.112,0.08,14,10.1311,40.7215,20.421,18.3,0.068,14,0.09,156860101311066364,10.13112434,40.72145281,0.046,0.03,90,436527104,52,56065.51203704,5,70,18.808,0.0062,18.6731,0.0347,16892216,18.9984,0.017,19.0177,0.0437,115000,19.139,0.0137,19.0681,0.0445,16892216,19.3217,0.03,19.2157,0.0723,115000,19.384,0.0412,19.1815,0.1145,115000
8033,156800099830210763,0.92995834,0.227276,9.9829,40.6668,FUVCaF2,FUVSapphire,9.9829,40.6668,18.933,16.532,0.047,14,9.9829,40.6668,18.862,16.741,0.043,14,0.07,156800099830210763,9.98297506,40.66677272,0.012,0.009,0,436527104,52,55934.82739583,5,55,18.187,0.006,18.2297,0.0071,115000,18.4146,0.0071,18.4786,0.0093,115000,18.6101,0.0123,18.642,0.0219,115000,18.8375,0.0301,18.8652,0.0714,115000,18.9308,0.0108,19.0036,0.0809,115000
8036,156950105611203256,0.9786012,0.214789,10.5611,40.7938,NUVN2,NUVB15,10.5611,40.7938,20.878,19.161,0.111,3,10.5612,40.7939,20.167,18.667,0.121,3,0.35,156950105611203256,10.56114386,40.79384957,0.008,0.007,0,503635968,60,55936.72769676,10,61,17.4032,0.0047,17.4663,0.0044,115000,17.0756,0.005,17.1574,0.0064,115000,16.9598,0.0052,17.0493,0.0052,115000,16.939,0.0057,17.0627,0.0131,115000,16.9114,0.0072,17.037,0.0189,115000
8037,157000101782705782,0.619625,0.741881,10.1783,40.8374,FUVCaF2,FUVSapphire,10.1783,40.8374,22.203,19.802,0.116,"3, 14",10.1782,40.8376,22.198,20.077,0.145,14,0.76,157000101782705782,10.17826604,40.83760447,0.035,0.03,0,436527104,52,55871.14438657,3,39,20.9502,0.035,20.9417,0.0824,115000,21.1059,0.0694,21.229,0.138,115000,21.2636,0.0285,21.3836,0.0729,115000,21.1818,0.0814,,,16696,,,,,16416
8046,157010103731249101,0.8264375,0.197995,10.3731,40.8487,FUVCaF2,FUVSilica,10.3731,40.8487,20.458,18.057,0.077,3,10.3731,40.8487,20.028,22.015,0.097,3,0.32,157010103731249101,10.37316862,40.84871818,0.025,0.014,90,444915712,53,55950.32409722,5,62,18.8391,0.009,18.7874,0.0392,16892216,18.664,0.0307,18.3808,0.0919,16892216,18.9603,0.0175,18.8245,0.0208,16892216,19.1752,0.0222,18.9944,0.0638,16892216,19.0826,0.0327,18.611,0.0636,16892216
8052,156980103151385148,0.6894583,0.508908,10.3151,40.8203,FUVCaF2,FUVSilica,10.3151,40.8203,21.825,19.424,0.137,3,10.3151,40.8205,21.027,23.014,0.142,3,0.67,156980103151385148,10.31515248,40.82043567,0.06,0.032,0,436527104,52,55884.95587963,4,19,21.1685,0.0397,21.0454,0.1513,115000,21.4112,0.0516,21.3306,0.0806,115000,21.6053,0.0991,,,115000,,,,,114720,,,,,16416
8060,156930105704548514,0.9300357,0.081293,10.5704,40.7816,FUVCaF2,FUVSapphire,10.5704,40.7816,22.146,19.745,0.152,16,10.5704,40.7816,22.56,20.439,0.177,16,0.18,156930105704548514,10.57038675,40.78157977,0.013,0.007,90,436527104,52,56056.84944444,20,43,19.4912,0.0214,19.5916,0.0246,115000,19.6325,0.0172,19.8045,0.0343,115000,19.8734,0.0356,20.0968,0.0276,115000,19.9215,0.0301,20.1213,0.1285,115000,19.5338,0.2185,19.7378,0.2491,115000
8061,156940103783799364,0.953,0.666213,10.3781,40.7906,NUVN2,NUVB15,10.3781,40.7906,22.39,20.673,0.223,3,10.3784,40.7906,19.474,17.974,0.089,3,0.69,156940103783799364,10.37834004,40.79063492,0.028,0.004,90,235200512,28,55938.70925926,10,75,14.742,0.0042,14.8008,0.0019,115000,14.1653,0.0021,14.2212,0.0017,98616,13.98,0.0043,14.0428,0.0009,115000,13.9292,0.0022,13.9794,0.0028,115000,13.8751,0.0024,13.9012,0.0023,115000
