objid,raStack,decStack,gPSFMag,gPSFMagErr,rPSFMag,rPSFMagErr,iPSFMag,iPSFMagErr,zPSFMag,zPSFMagErr,yPSFMag,yPSFMagErr,ps_score
122281329078702865,132.90783952,11.90202437,23.2544994354248,0.193920001387596,21.8719997406006,0.0548439994454384,20.3803005218506,0.017348999157548,19.718900680542,0.0186379998922348,19.4848003387451,0.0323840007185936,0.997535705566406
122281329101235219,132.91010595,11.90392033,21.701099395752,0.0396969988942146,21.2003993988037,0.025976000353694,20.9365005493164,0.0256120003759861,20.9627990722656,0.0602269992232323,21.1002006530762,0.144456997513771,0.00404166989028454
122281329145099367,132.9145128,11.90740658,20.8672008514404,0.0196180008351803,20.5639991760254,0.0143430000171065,20.6504993438721,0.0336589999496937,20.5559005737305,0.0329039990901947,20.3078002929688,0.0645949989557266,0.971499979496002
122281329169180794,132.91694838,11.90045884,22.9766006469727,0.140407994389534,21.9330005645752,0.0701609998941422,21.5739994049072,0.0567199997603893,21.4001007080078,0.0767309963703156,21.4230995178223,0.176736995577812,0.00208332994952798
122281329366951695,132.93670988,11.90101537,22.778299331665,0.102830000221729,21.3398990631104,0.0259029995650053,20.2215003967285,0.0157510004937649,19.8211002349854,0.0198509991168976,19.593900680542,0.0353320017457008,0.487690478563309
122281329431668310,132.94321381,11.90648839,24.5487995147705,0.55435699224472,22.2798004150391,0.0598610006272793,20.9701995849609,0.0304659996181726,20.4088001251221,0.0353239998221397,19.9556007385254,0.051902998238802,0.747916638851166
122281329464510497,132.94651437,11.89995253,23.8432998657227,0.31972798705101,21.9316997528076,0.0524130016565323,21.3605995178223,0.0503490008413792,20.9139003753662,0.0522839985787869,21.1966991424561,0.149195000529289,0.100255951285362
122281329469219009,132.94698448,11.90712626,28.7140998840332,27.0900993347168,22.8290996551514,0.105948001146317,21.8283996582031,0.0657989978790283,21.4039993286133,0.103120997548103,21.0769996643066,0.179670006036758,0.232017859816551
122281329470025233,132.94710501,11.90380138,24.9043006896973,0.849286019802094,22.8708992004395,0.128542006015778,21.5520992279053,0.0693570002913475,20.7422008514404,0.0531510002911091,20.3418998718262,0.0794010013341904,0.323163688182831
122281329582495103,132.95824982,11.90385143,21.2880992889404,0.050246000289917,20.1236000061035,0.0145199997350574,19.9437007904053,0.0309980008751154,19.8624000549316,0.0305049996823072,20.7735996246338,0.138807997107506,0.147345244884491
122281329585214181,132.95851982,11.90308873,22.8934993743896,0.169127002358437,20.4221000671387,0.0183320008218288,19.4256000518799,0.0185240004211664,18.6870994567871,0.0112359998747706,18.4193000793457,0.0154889998957515,0.0997678562998772
122281329629786316,132.96291246,11.9048658,23.9258995056152,0.349637001752853,21.789400100708,0.0490720011293888,20.797700881958,0.0370980016887188,20.1494998931885,0.0358520001173019,19.8201999664307,0.0516830012202263,0.574672639369965
122281329679914263,132.96798583,11.90315548,20.7413005828857,0.0224629994481802,19.6501007080078,0.00810499954968691,18.3826007843018,0.00529399979859591,17.9461002349854,0.00627700006589293,17.6203002929688,0.0089680003002286,0.979333341121674
122281329736322162,132.97366704,11.90140682,22.2092990875244,0.0625130012631416,21.1954002380371,0.0236850008368492,20.9468994140625,0.0276900008320808,20.9339008331299,0.0535419993102551,20.645299911499,0.119442999362946,0.000624999986030161
122291327004646394,132.70045695,11.91325805,14.4267997741699,0.000472999992780387,14.3893995285034,0.000311000010697171,13.9518003463745,0.000403999991249293,13.7814998626709,0.000409000000217929,13.8092002868652,0.000681000004988164,0.788749992847443
122291327137082477,132.71369757,11.90995174,22.3031005859375,0.0596330016851425,21.0391998291016,0.0216700006276369,19.8838996887207,0.0110740000382066,19.3218994140625,0.0117290001362562,19.0393009185791,0.0210459996014833,0.994791686534882
122291327151954031,132.715207,11.91125585,21.9939994812012,0.0535309985280037,21.4402008056641,0.0284160003066063,21.2012004852295,0.0339060015976429,21.0695991516113,0.0538179986178875,21.0825004577637,0.128805994987488,0.0895000025629997
122291327211551097,132.72116519,11.90879096,24.0247993469238,0.297508001327515,22.5263996124268,0.0791819989681244,21.6786003112793,0.0518429987132549,21.0400009155273,0.0539750009775162,21.3868999481201,0.183293998241425,0.80991667509079
122291327244858651,132.72447288,11.91513119,21.6816997528076,0.0351760014891624,20.4344005584717,0.0115849999710917,18.7439002990723,0.00439799996092916,17.9825992584229,0.00549100013449788,17.6791000366211,0.00758100021630526,0.994583308696747
122291327466953588,132.74658105,11.9107846,22.2015991210938,0.0548710003495216,21.0634002685547,0.0196529999375343,19.9986991882324,0.0115539999678731,19.5475997924805,0.0164110008627176,19.3490009307861,0.0332089997828007,0.915000021457672
122291327476717958,132.74766685,11.91456416,16.1187992095947,0.00083999999333173,15.5665998458862,0.000487000012071803,15.2861995697021,0.00052599998889491,15.2088003158569,0.000882000022102147,15.1380996704102,0.00146099994890392,0.98284524679184
