 X-Field	 Y-Field	Sigma	e1	e2	EPS
-0.2500	0.2016	6.947000	-0.007102	0.000170	0.007104
-0.2339	0.2016	6.940000	-0.006572	0.000297	0.006579
-0.2177	0.2016	6.934000	-0.006090	0.000373	0.006101
-0.2016	0.2016	6.929000	-0.005666	0.000412	0.005680
-0.1855	0.2016	6.925000	-0.005287	0.000422	0.005304
-0.1694	0.2016	6.922000	-0.004943	0.000412	0.004960
-0.1532	0.2016	6.920000	-0.004646	0.000389	0.004662
-0.1371	0.2016	6.918000	-0.004382	0.000356	0.004397
-0.1210	0.2016	6.916000	-0.004158	0.000318	0.004170
-0.1048	0.2016	6.914000	-0.003963	0.000276	0.003973
-0.0887	0.2016	6.913000	-0.003791	0.000233	0.003798
-0.0726	0.2016	6.912000	-0.003659	0.000190	0.003664
-0.0565	0.2016	6.912000	-0.003556	0.000147	0.003559
-0.0403	0.2016	6.911000	-0.003479	0.000105	0.003481
-0.0242	0.2016	6.911000	-0.003429	0.000063	0.003429
-0.0081	0.2016	6.911000	-0.003404	0.000021	0.003404
0.0081	0.2016	6.911000	-0.003404	-0.000021	0.003404
0.0242	0.2016	6.911000	-0.003429	-0.000063	0.003429
0.0403	0.2016	6.911000	-0.003479	-0.000105	0.003481
0.0565	0.2016	6.912000	-0.003556	-0.000147	0.003559
0.0726	0.2016	6.912000	-0.003659	-0.000190	0.003664
0.0887	0.2016	6.913000	-0.003791	-0.000233	0.003798
0.1048	0.2016	6.914000	-0.003963	-0.000276	0.003973
0.1210	0.2016	6.916000	-0.004158	-0.000318	0.004170
0.1371	0.2016	6.918000	-0.004382	-0.000356	0.004397
0.1532	0.2016	6.920000	-0.004646	-0.000389	0.004662
0.1694	0.2016	6.922000	-0.004943	-0.000412	0.004960
0.1855	0.2016	6.925000	-0.005287	-0.000422	0.005304
0.2016	0.2016	6.929000	-0.005666	-0.000412	0.005680
0.2177	0.2016	6.934000	-0.006090	-0.000373	0.006101
0.2339	0.2016	6.940000	-0.006572	-0.000297	0.006579
0.2500	0.2016	6.947000	-0.007102	-0.000170	0.007104
-0.2500	0.2177	6.950000	-0.007954	0.000427	0.007966
-0.2339	0.2177	6.943000	-0.007396	0.000481	0.007411
-0.2177	0.2177	6.937000	-0.006888	0.000499	0.006906
-0.2016	0.2177	6.932000	-0.006440	0.000492	0.006459
-0.1855	0.2177	6.928000	-0.006039	0.000467	0.006057
-0.1694	0.2177	6.924000	-0.005675	0.000430	0.005692
-0.1532	0.2177	6.921000	-0.005361	0.000388	0.005375
-0.1371	0.2177	6.919000	-0.005081	0.000343	0.005093
-0.1210	0.2177	6.917000	-0.004844	0.000297	0.004853
-0.1048	0.2177	6.915000	-0.004637	0.000251	0.004644
-0.0887	0.2177	6.914000	-0.004466	0.000208	0.004471
-0.0726	0.2177	6.913000	-0.004313	0.000166	0.004316
-0.0565	0.2177	6.912000	-0.004204	0.000127	0.004206
-0.0403	0.2177	6.912000	-0.004122	0.000089	0.004123
-0.0242	0.2177	6.911000	-0.004069	0.000053	0.004069
-0.0081	0.2177	6.911000	-0.004042	0.000018	0.004042
0.0081	0.2177	6.911000	-0.004042	-0.000018	0.004042
0.0242	0.2177	6.911000	-0.004069	-0.000053	0.004069
0.0403	0.2177	6.912000	-0.004122	-0.000089	0.004123
0.0565	0.2177	6.912000	-0.004204	-0.000127	0.004206
0.0726	0.2177	6.913000	-0.004313	-0.000166	0.004316
0.0887	0.2177	6.914000	-0.004466	-0.000208	0.004471
0.1048	0.2177	6.915000	-0.004637	-0.000251	0.004644
0.1210	0.2177	6.917000	-0.004844	-0.000297	0.004853
0.1371	0.2177	6.919000	-0.005081	-0.000343	0.005093
0.1532	0.2177	6.921000	-0.005361	-0.000388	0.005375
0.1694	0.2177	6.924000	-0.005675	-0.000430	0.005692
0.1855	0.2177	6.928000	-0.006039	-0.000467	0.006057
0.2016	0.2177	6.932000	-0.006440	-0.000492	0.006459
0.2177	0.2177	6.937000	-0.006888	-0.000499	0.006906
0.2339	0.2177	6.943000	-0.007396	-0.000481	0.007411
0.2500	0.2177	6.950000	-0.007954	-0.000427	0.007966
-0.2500	0.2339	6.955000	-0.008771	0.000714	0.008800
-0.2339	0.2339	6.948000	-0.008187	0.000689	0.008216
-0.2177	0.2339	6.941000	-0.007647	0.000641	0.007674
-0.2016	0.2339	6.936000	-0.007160	0.000580	0.007184
-0.1855	0.2339	6.932000	-0.006733	0.000516	0.006753
-0.1694	0.2339	6.928000	-0.006354	0.000449	0.006370
-0.1532	0.2339	6.925000	-0.006012	0.000384	0.006025
-0.1371	0.2339	6.922000	-0.005716	0.000324	0.005725
-0.1210	0.2339	6.920000	-0.005463	0.000268	0.005469
-0.1048	0.2339	6.918000	-0.005246	0.000219	0.005251
-0.0887	0.2339	6.916000	-0.005062	0.000174	0.005065
-0.0726	0.2339	6.915000	-0.004901	0.000135	0.004902
-0.0565	0.2339	6.914000	-0.004784	0.000100	0.004785
-0.0403	0.2339	6.914000	-0.004697	0.000069	0.004697
-0.0242	0.2339	6.913000	-0.004640	0.000040	0.004640
-0.0081	0.2339	6.913000	-0.004611	0.000013	0.004611
0.0081	0.2339	6.913000	-0.004611	-0.000013	0.004611
0.0242	0.2339	6.913000	-0.004640	-0.000040	0.004640
0.0403	0.2339	6.914000	-0.004697	-0.000069	0.004697
0.0565	0.2339	6.914000	-0.004784	-0.000100	0.004785
0.0726	0.2339	6.915000	-0.004901	-0.000135	0.004902
0.0887	0.2339	6.916000	-0.005062	-0.000174	0.005065
0.1048	0.2339	6.918000	-0.005246	-0.000219	0.005251
0.1210	0.2339	6.920000	-0.005463	-0.000268	0.005469
0.1371	0.2339	6.922000	-0.005716	-0.000324	0.005725
0.1532	0.2339	6.925000	-0.006012	-0.000384	0.006025
0.1694	0.2339	6.928000	-0.006354	-0.000449	0.006370
0.1855	0.2339	6.932000	-0.006733	-0.000516	0.006753
0.2016	0.2339	6.936000	-0.007160	-0.000580	0.007184
0.2177	0.2339	6.941000	-0.007647	-0.000641	0.007674
0.2339	0.2339	6.948000	-0.008187	-0.000689	0.008216
0.2500	0.2339	6.955000	-0.008771	-0.000714	0.008800
-0.2500	0.2500	6.963000	-0.009517	0.001021	0.009572
-0.2339	0.2500	6.955000	-0.008883	0.000908	0.008929
-0.2177	0.2500	6.949000	-0.008302	0.000789	0.008339
-0.2016	0.2500	6.943000	-0.007774	0.000671	0.007803
-0.1855	0.2500	6.938000	-0.007314	0.000562	0.007336
-0.1694	0.2500	6.934000	-0.006905	0.000463	0.006921
-0.1532	0.2500	6.931000	-0.006538	0.000373	0.006549
-0.1371	0.2500	6.928000	-0.006224	0.000296	0.006231
-0.1210	0.2500	6.925000	-0.005948	0.000230	0.005953
-0.1048	0.2500	6.923000	-0.005716	0.000176	0.005719
-0.0887	0.2500	6.921000	-0.005519	0.000131	0.005521
-0.0726	0.2500	6.920000	-0.005361	0.000095	0.005362
-0.0565	0.2500	6.919000	-0.005223	0.000066	0.005224
-0.0403	0.2500	6.918000	-0.005131	0.000043	0.005131
-0.0242	0.2500	6.917000	-0.005069	0.000024	0.005069
-0.0081	0.2500	6.917000	-0.005039	0.000008	0.005039
0.0081	0.2500	6.917000	-0.005039	-0.000008	0.005039
0.0242	0.2500	6.917000	-0.005069	-0.000024	0.005069
0.0403	0.2500	6.918000	-0.005131	-0.000043	0.005131
0.0565	0.2500	6.919000	-0.005223	-0.000066	0.005224
0.0726	0.2500	6.920000	-0.005361	-0.000095	0.005362
0.0887	0.2500	6.921000	-0.005519	-0.000131	0.005521
0.1048	0.2500	6.923000	-0.005716	-0.000176	0.005719
0.1210	0.2500	6.925000	-0.005948	-0.000230	0.005953
0.1371	0.2500	6.928000	-0.006224	-0.000296	0.006231
0.1532	0.2500	6.931000	-0.006538	-0.000373	0.006549
0.1694	0.2500	6.934000	-0.006905	-0.000463	0.006921
0.1855	0.2500	6.938000	-0.007314	-0.000562	0.007336
0.2016	0.2500	6.943000	-0.007774	-0.000671	0.007803
0.2177	0.2500	6.949000	-0.008302	-0.000789	0.008339
0.2339	0.2500	6.955000	-0.008883	-0.000908	0.008929
0.2500	0.2500	6.963000	-0.009517	-0.001021	0.009572
